disasterNumber,damagedCity,damagedStateAbbreviation,damagedZipCode,householdComposition,grossIncome,specialNeeds,ownRent,residenceType,homeOwnersInsurance,floodInsurance,inspected,rpfvl,habitabilityRepairsRequired,destroyed,waterLevel,highWaterLocation,floodDamage,foundationDamage,foundationDamageAmount,roofDamage,roofDamageAmount,tsaEligible,tsaCheckedIn,rentalAssistanceEligible,rentalAssistanceAmount,repairAssistanceEligible,repairAmount,replacementAssistanceEligible,replacementAmount,sbaEligible,renterDamageLevel,rentalAssistanceEndDate,rentalResourceCity,rentalResourceStateAbbreviation,rentalResourceZipCode,primaryResidence,personalPropertyEligible,ppfvl,censusBlockId,id,censusYear
4339,NAGUABO,PR,718,1,12000.0,0,Owner,House/Duplex,0.0,0.0,1.0,254.99,1.0,0.0,0.0,,0.0,0.0,,0.0,,1.0,0.0,0.0,,1.0,254.99,0.0,,0.0,,,,,,1.0,1.0,132.0,721031703003058.0,d550fcf7-61a7-4120-af7f-4caab3f9b171,2010.0
4339,OROCOVIS,PR,720,2,600.0,0,Owner,House/Duplex,0.0,0.0,1.0,7385.85,1.0,0.0,0.0,,0.0,0.0,,1.0,3372.8,1.0,0.0,1.0,724.0,1.0,7385.85,0.0,,0.0,,,,,,1.0,1.0,5113.67,721079549021019.0,a8652d55-870d-4121-ba2e-f5e44cbf8d98,2010.0
4339,BAYAMON,PR,956,3,18000.0,0,Owner,House/Duplex,0.0,0.0,1.0,2493.9,1.0,0.0,0.0,,0.0,0.0,,1.0,64.0,1.0,0.0,1.0,1106.0,1.0,2493.9,0.0,,0.0,,,,,,1.0,0.0,0.0,720210316223006.0,c34c695a-5525-42c3-94c2-69dfaf6c8143,2010.0
4337,CASSELBERRY,FL,32707,1,8376.0,0,Owner,Mobile Home,0.0,0.0,1.0,1000.0,1.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,,1.0,1000.0,0.0,,0.0,,,,,,1.0,1.0,1927.8,121170221014015.0,aedcc581-36db-4bd1-aabd-714141d0cb48,2010.0
4611,LA PLACE,LA,70068,3,6792.0,0,Owner,House/Duplex,1.0,1.0,1.0,19409.53,1.0,0.0,30.0,,1.0,0.0,,0.0,,0.0,0.0,1.0,2808.0,1.0,4444.1,0.0,,0.0,,,,,,1.0,0.0,1643.1,220950702001008.0,f43b8937-9c0f-485d-8c6d-b588a80bf227,2020.0
4399,YOUNGSTOWN,FL,32466,2,10600.0,0,Owner,Mobile Home,1.0,0.0,1.0,35148.58,1.0,1.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,,1.0,314.76,1.0,13583.82,0.0,,,,,,1.0,0.0,6851.77,120050004003019.0,37c1c840-4fe8-496b-8f08-258fd9ad431f,2010.0
4339,ANASCO,PR,610,1,8000.0,0,Owner,House/Duplex,0.0,0.0,1.0,2922.35,1.0,0.0,0.0,,0.0,0.0,,1.0,2289.6,1.0,0.0,1.0,748.0,1.0,2922.35,0.0,,0.0,,,,,,1.0,1.0,2938.32,720118102002034.0,2cee2258-98cf-4de4-8847-89e0edeeda15,2010.0
4337,MIRAMAR,FL,33023,5,35000.0,0,Owner,House/Duplex,1.0,0.0,1.0,499.5,0.0,0.0,0.0,,0.0,0.0,,0.0,,1.0,0.0,0.0,,1.0,10000.0,0.0,,0.0,,,,,,1.0,1.0,0.0,120111104041013.0,a0508c8e-ba65-4311-a653-b5197683f4cb,2010.0
4337,JACKSONVILLE,FL,32209,1,,0,Owner,House/Duplex,0.0,0.0,1.0,16665.0,1.0,0.0,1.0,,1.0,0.0,,0.0,,0.0,0.0,1.0,1938.0,1.0,16665.0,0.0,,0.0,,,,,,1.0,0.0,5100.0,120310015004012.0,748ad99b-fa8f-4214-828b-b3a4689f75ac,2010.0
4339,RIO GRANDE,PR,745,3,15000.0,0,Owner,House/Duplex,0.0,0.0,1.0,2107.96,1.0,0.0,19.0,,1.0,0.0,,0.0,,1.0,0.0,1.0,1486.0,1.0,2107.96,0.0,,0.0,,,,,,1.0,1.0,5918.04,721191303001013.0,4968fc44-866e-49ac-a625-0dd93860e408,2010.0
